# Type                      | Price  | Qty  | Rar  | Sells  | Buys   | World             | Category            | Material            | Market
---------------------------------------------------------------------------------------------------------------------------------------------
AbbatoirDeed              |    440 |    0 |    0 | false  | false  | World.None        | Category.None       | Material.None       | Market.Butcher
JewelryBracelet           |     20 |   15 |    0 | false  | false  | World.None        | Category.None       | Material.None       | Market.Jeweler
JewelryCirclet            |     20 |   15 |    0 | false  | false  | World.None        | Category.None       | Material.None       | Market.Jeweler
AdmiralsHeartyRum         |   1600 |    0 |    0 | false  | false  | World.None        | Category.Rare       | Material.None       | Market.Art
AdventurerCrate           |    400 |    5 |   75 | false  | false  | World.None        | Category.None       | Material.None       | Market.Sailor
JewelryEarrings           |     20 |   15 |    0 | false  | false  | World.None        | Category.None       | Material.None       | Market.Jeweler
AlchemistPouch            |   1200 |    2 |    0 | false  | false  | World.None        | Category.None       | Material.None       | Market.Alchemy
AlchemyCrate              |    400 |    5 |   75 | false  | false  | World.None        | Category.None       | Material.None       | Market.Alchemy
AlchemyPouch              |   3500 |    2 |    0 | false  | false  | World.None        | Category.None       | Material.None       | Market.Alchemy
MortarPestle              |      8 |   15 |    0 | false  | false  | World.None        | Category.None       | Material.None       | Market.Alchemy
AlchemyTub                |   2400 |    5 |    0 | false  | false  | World.None        | Category.None       | Material.None       | Market.Alchemy
AgilityPotion             |     15 |   15 |    0 | false  | false  | World.None        | Category.Potion     | Material.None       | Market.Alchemy
LesserCurePotion          |     15 |   15 |    0 | false  | false  | World.None        | Category.Potion     | Material.None       | Market.Alchemy
LesserHealPotion          |     15 |   15 |    0 | false  | false  | World.None        | Category.Potion     | Material.None       | Market.Alchemy
NightSightPotion          |     15 |   15 |    0 | false  | false  | World.None        | Category.Potion     | Material.None       | Market.Alchemy
RefreshPotion             |     15 |   15 |    0 | false  | false  | World.None        | Category.Potion     | Material.None       | Market.Alchemy
StrengthPotion            |     15 |   15 |    0 | false  | false  | World.None        | Category.Potion     | Material.None       | Market.Alchemy
LesserExplosionPotion     |     21 |   15 |    0 | false  | false  | World.None        | Category.Potion     | Material.None       | Market.Alchemy
ConflagrationPotion       |     30 |   15 |    0 | false  | false  | World.None        | Category.Potion     | Material.None       | Market.Alchemy
ConfusionBlastPotion      |     30 |   15 |    0 | false  | false  | World.None        | Category.Potion     | Material.None       | Market.Alchemy
CurePotion                |     30 |   15 |    0 | false  | false  | World.None        | Category.Potion     | Material.None       | Market.Alchemy
FrostbitePotion           |     30 |   15 |    0 | false  | false  | World.None        | Category.Potion     | Material.None       | Market.Alchemy
HealPotion                |     30 |   15 |    0 | false  | false  | World.None        | Category.Potion     | Material.None       | Market.Alchemy
TotalRefreshPotion        |     30 |   15 |    0 | false  | false  | World.None        | Category.Potion     | Material.None       | Market.Alchemy
ExplosionPotion           |     42 |   15 |    0 | false  | false  | World.None        | Category.Potion     | Material.None       | Market.Alchemy
GreaterAgilityPotion      |     60 |   15 |  101 | false  | false  | World.None        | Category.Potion     | Material.None       | Market.Alchemy
GreaterConflagrationPotion |     60 |   15 |  101 | false  | false  | World.None        | Category.Potion     | Material.None       | Market.Alchemy
GreaterConfusionBlastPotion |     60 |   15 |  101 | false  | false  | World.None        | Category.Potion     | Material.None       | Market.Alchemy
GreaterCurePotion         |     60 |   15 |  101 | false  | false  | World.None        | Category.Potion     | Material.None       | Market.Alchemy
GreaterExplosionPotion    |     60 |   15 |  101 | false  | false  | World.None        | Category.Potion     | Material.None       | Market.Alchemy
GreaterFrostbitePotion    |     60 |   15 |  101 | false  | false  | World.None        | Category.Potion     | Material.None       | Market.Alchemy
GreaterHealPotion         |     60 |   15 |  101 | false  | false  | World.None        | Category.Potion     | Material.None       | Market.Alchemy
GreaterStrengthPotion     |     60 |   15 |  101 | false  | false  | World.None        | Category.Potion     | Material.None       | Market.Alchemy
GreaterManaPotion         |    120 |   15 |  101 | false  | false  | World.None        | Category.Potion     | Material.None       | Market.Alchemy
LesserInvisibilityPotion  |    120 |   15 |    0 | false  | false  | World.None        | Category.Potion     | Material.None       | Market.Alchemy
LesserManaPotion          |     80 |   15 |    0 | false  | false  | World.None        | Category.Potion     | Material.None       | Market.Alchemy
LesserRejuvenatePotion    |    120 |   15 |    0 | false  | false  | World.None        | Category.Potion     | Material.None       | Market.Alchemy
InvisibilityPotion        |    180 |   15 |  101 | false  | false  | World.None        | Category.Potion     | Material.None       | Market.Alchemy
ManaPotion                |    180 |   15 |  101 | false  | false  | World.None        | Category.Potion     | Material.None       | Market.Alchemy
RejuvenatePotion          |    180 |   15 |  101 | false  | false  | World.None        | Category.Potion     | Material.None       | Market.Alchemy
GreaterInvisibilityPotion |    210 |    0 |    0 | false  | false  | World.None        | Category.Potion     | Material.None       | Market.Alchemy
GreaterRejuvenatePotion   |    210 |    0 |    0 | false  | false  | World.None        | Category.Potion     | Material.None       | Market.Alchemy
PotionOfDexterity         |   1000 |    0 |    0 | false  | false  | World.None        | Category.Potion     | Material.None       | Market.Alchemy
PotionOfMight             |   1000 |    0 |    0 | false  | false  | World.None        | Category.Potion     | Material.None       | Market.Alchemy
PotionOfWisdom            |   1000 |    0 |    0 | false  | false  | World.None        | Category.Potion     | Material.None       | Market.Alchemy
AutoResPotion             |   1200 |    0 |    0 | false  | false  | World.None        | Category.Potion     | Material.None       | Market.Alchemy
